device_type,device_class,input_address_supported,range_catalog_exposed,range_catalog_role,direct_bit_device,default_data_format,number_base,notes
R,bit,yes,yes,row,yes,,10,"Standard relay row. XYM catalog publishes X and Y aliases under the R family."
B,bit,yes,yes,row,yes,,16,"Bit device with hexadecimal numbering."
MR,bit,yes,yes,row,yes,,10,"Internal relay row. XYM catalog may publish M alias ranges."
LR,bit,yes,yes,row,yes,,10,"Latch relay row. XYM catalog may publish L alias ranges."
CR,bit,yes,yes,row,yes,,10,"Control relay row."
VB,bit,yes,yes,row,yes,,16,"Bit device with hexadecimal numbering."
DM,word,yes,yes,row,no,U,10,"Data memory row. XYM catalog may publish D alias ranges."
EM,word,yes,yes,row,no,U,10,"Extended data memory row. Not supported on every model."
FM,word,yes,yes,row,no,U,10,"File memory row. XYM catalog may publish F alias ranges."
ZF,file_refresh,yes,yes,row,no,U,10,"File register row. Not supported on every model."
W,word,yes,yes,row,no,U,16,"Word device with hexadecimal numbering."
TM,word,yes,yes,row,no,U,10,"Temporary memory word row."
Z,index,yes,yes,row,no,U,10,"Index register row."
T,timer_counter,yes,yes,row,no,D,10,"Timer family row in the range catalog."
C,timer_counter,yes,yes,row,no,D,10,"Counter family row in the range catalog."
AT,timer_counter,yes,yes,row,no,U,10,"Auxiliary timer row. Not supported on every model."
CM,word,yes,yes,row,no,U,10,"Control memory row."
VM,word,yes,yes,row,no,U,10,"Variable memory row."
X,bit,yes,yes,xym_alias,yes,,16,"XYM alias device. Published under the R row in XYM catalogs."
Y,bit,yes,yes,xym_alias,yes,,16,"XYM alias device. Published under the R row in XYM catalogs."
M,bit,yes,yes,xym_alias,yes,,10,"XYM alias device. Published under the MR row in XYM catalogs."
L,bit,yes,yes,xym_alias,yes,,10,"XYM alias device. Published under the LR row in XYM catalogs."
D,word,yes,yes,xym_alias,no,U,10,"XYM alias device. Published under the DM row in XYM catalogs."
E,word,yes,yes,xym_alias,no,U,10,"XYM alias device. Published under the EM row in XYM catalogs."
F,word,yes,yes,xym_alias,no,U,10,"XYM alias device. Published under the FM row in XYM catalogs."
TC,timer_counter,yes,no,input_only,no,D,10,"Accepted as an address, but not exposed as a separate range-catalog row."
TS,timer_counter,yes,no,input_only,no,D,10,"Accepted as an address, but not exposed as a separate range-catalog row."
CC,timer_counter,yes,no,input_only,no,D,10,"Accepted as an address, but not exposed as a separate range-catalog row."
CS,timer_counter,yes,no,input_only,no,D,10,"Accepted as an address, but not exposed as a separate range-catalog row."
CTH,timer_counter,no,yes,row,no,,10,"Catalog-only helper row. Not accepted by the current address parser."
CTC,timer_counter,no,yes,row,no,,10,"Catalog-only helper row. Not accepted by the current address parser."
